user_id,transaction_date,amount,status
7,2026-01-10,29.0,Success
7,2026-02-09,29.0,Success
7,2026-03-11,29.0,Failed
7,2026-04-10,29.0,Success
7,2026-05-10,29.0,Success
7,2026-06-09,29.0,Success
9,2025-08-10,29.0,Success
10,2026-01-03,29.0,Success
10,2026-02-02,29.0,Success
10,2026-03-04,29.0,Success
10,2026-04-03,29.0,Success
10,2026-05-03,29.0,Success
10,2026-06-02,29.0,Success
11,2025-08-06,29.0,Success
14,2026-04-17,29.0,Success
14,2026-05-17,29.0,Success
14,2026-06-16,29.0,Success
16,2026-04-26,29.0,Success
16,2026-05-26,29.0,Success
16,2026-06-25,29.0,Success
19,2026-04-10,29.0,Success
19,2026-05-10,29.0,Success
19,2026-06-09,29.0,Success
20,2025-11-14,199.0,Success
21,2025-11-12,199.0,Failed
21,2025-12-12,199.0,Success
21,2026-01-11,199.0,Success
21,2026-02-10,199.0,Success
21,2026-03-12,199.0,Success
21,2026-04-11,199.0,Success
21,2026-05-11,199.0,Success
21,2026-06-10,199.0,Success
22,2025-11-30,29.0,Success
22,2025-12-30,29.0,Success
22,2026-01-29,29.0,Success
22,2026-02-28,29.0,Success
22,2026-03-30,29.0,Success
22,2026-04-29,29.0,Success
22,2026-05-29,29.0,Success
22,2026-06-28,29.0,Success
25,2026-04-17,29.0,Success
25,2026-05-17,29.0,Failed
25,2026-06-16,29.0,Success
27,2026-03-28,29.0,Success
29,2026-03-22,29.0,Success
31,2025-07-17,29.0,Success
36,2026-02-15,29.0,Success
36,2026-03-17,29.0,Success
36,2026-04-16,29.0,Success
36,2026-05-16,29.0,Success
36,2026-06-15,29.0,Success
37,2026-02-12,29.0,Success
37,2026-03-14,29.0,Success
37,2026-04-13,29.0,Success
37,2026-05-13,29.0,Success
37,2026-06-12,29.0,Success
38,2025-07-08,29.0,Success
39,2025-10-18,29.0,Success
39,2025-11-17,29.0,Success
39,2025-12-17,29.0,Success
39,2026-01-16,29.0,Success
39,2026-02-15,29.0,Success
39,2026-03-17,29.0,Success
39,2026-04-16,29.0,Success
39,2026-05-16,29.0,Success
39,2026-06-15,29.0,Success
40,2025-11-13,199.0,Success
40,2025-12-13,199.0,Success
40,2026-01-12,199.0,Success
40,2026-02-11,199.0,Success
40,2026-03-13,199.0,Success
40,2026-04-12,199.0,Success
40,2026-05-12,199.0,Success
40,2026-06-11,199.0,Success
41,2026-04-11,29.0,Success
41,2026-05-11,29.0,Success
41,2026-06-10,29.0,Success
42,2026-04-23,29.0,Success
44,2025-10-04,29.0,Success
44,2025-11-03,29.0,Success
44,2025-12-03,29.0,Success
44,2026-01-02,29.0,Success
44,2026-02-01,29.0,Failed
44,2026-03-03,29.0,Success
44,2026-04-02,29.0,Success
44,2026-05-02,29.0,Success
44,2026-06-01,29.0,Success
45,2026-04-18,29.0,Success
47,2025-11-13,29.0,Success
47,2025-12-13,29.0,Failed
47,2026-01-12,29.0,Success
47,2026-02-11,29.0,Success
47,2026-03-13,29.0,Success
47,2026-04-12,29.0,Success
47,2026-05-12,29.0,Success
47,2026-06-11,29.0,Success
49,2025-10-18,29.0,Success
49,2025-11-17,29.0,Success
49,2025-12-17,29.0,Failed
49,2026-01-16,29.0,Success
49,2026-02-15,29.0,Success
49,2026-03-17,29.0,Success
49,2026-04-16,29.0,Success
49,2026-05-16,29.0,Success
49,2026-06-15,29.0,Success
54,2025-11-06,199.0,Success
56,2026-02-12,29.0,Success
56,2026-03-14,29.0,Success
56,2026-04-13,29.0,Success
56,2026-05-13,29.0,Success
56,2026-06-12,29.0,Success
